id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-10,0.12836546038794736,8.100122037489207,48.918272148104194,78.22005220588203,,,,13.467695978976616,48.389240437474974,,,30.955324127492112,,0.0,1.140175425099138,0.4472135954999579,0.8944271909999159,146.56391559059063,
AS14.01,2014-04-11,0.12630676101136973,14.623539268072188,33.13924501637139,95.08851842352448,13.040838568384576,,,4.455648400251827,45.03707511623774,,,26.624222339712468,,,0.4472135954999579,0.4472135954999579,0.7071067811865476,110.21265682261247,
AS14.01,2014-04-12,0.09889281157774367,5.55858809905015,67.1122071970186,167.37309526098397,,,,6.492113904760217,24.820982373790123,,,20.13230162102684,,,1.2583057392117916,0.5,0.9574271077563381,141.0640076868581,
AS14.01,2014-04-13,0.02628708156716158,12.78874410494992,50.86114662599215,69.32736619354101,8.57773587550934,,,5.270239280405329,5.68796694786459,,,,,,0.5,0.0,0.0,88.80684023202355,
AS14.01,2014-04-14,0.11676887221620086,7.402133771847896,58.763279806836145,138.48814380762542,13.834744485051637,,,10.807975164271761,122.47501720858277,13.487354744352206,,34.55410127759893,,,0.8366600265340756,0.5477225575051661,0.8366600265340756,118.87210824246073,
AS14.01,2014-04-15,0.09356330975453536,10.863073575508048,55.22651306405487,44.19467584204715,1.5287257220748705,,,21.47214051509537,73.95657892864753,,,20.69978023732683,,0.0,0.7071067811865476,0.4472135954999579,1.3416407864998738,83.7736600894564,
AS14.01,2014-04-16,0.14597768773032704,7.893282189197479,49.0355294100112,25.875589451023302,,,,1.7071060502109021,80.62390120780262,,,18.301224239863785,,,0.5,0.7071067811865476,0.44721359549995787,94.09458672944415,
AS14.01,2014-04-17,0.0779153747460018,4.90027856832389,47.54465930742854,16.218807622633673,,,,5.948150241881924,126.39831532170639,,,15.514839487836584,,0.0,1.3149778198382918,0.47871355387816905,0.47871355387816905,154.39320443534118,
AS14.01,2014-04-18,0.13884778625961702,15.136560419476812,76.2578969381933,106.17891177983508,17.728332030155247,,,1.8955478539637733,184.44116008349232,21.374832779072996,,23.673803102444978,,,0.8366600265340756,0.4472135954999579,0.44721359549995787,148.20142901760943,
AS14.01,2014-04-19,0.11552426092520689,13.813979658547861,34.1013526884415,80.83283996413009,19.950936413278114,,,0.5018937138478621,37.00637408191877,5.685138520739842,,23.56081953423946,,,0.447213595499958,0.0,0.44721359549995787,78.4772519447814,
AS14.01,2014-04-20,0.1164765204885258,9.021243073580521,63.222896596796275,59.045331981350394,1.2063241687042499,,,2.499938159235144,86.20570598903065,,,9.216254400062244,,0.0,0.9574271077563381,0.5,0.4999999999999999,117.72721004646895,0.0
AS14.01,2014-04-21,0.1629821779504404,14.813893646182157,49.51752689847852,16.16242665361032,5.2597543985754065,,,8.38420930678618,93.54144940740493,30.17869136217363,,25.096645095842327,,0.0,0.5,0.0,0.5477225575051662,107.74298380644302,
AS14.01,2014-04-22,0.10616734651104585,11.93838019385539,48.85874864674783,56.98389667686967,2.018747771928595,,,3.5355906814373554,71.5802931088412,,,18.40686453501862,,0.0,0.8366600265340756,0.0,0.5477225575051662,112.50484437098322,
AS14.01,2014-04-23,0.06767300306121334,9.33526254741706,57.82736203723597,37.84545652717114,2.650854013332307,,,2.117328946259099,43.75356575772027,,,17.65893335036766,,,0.8366600265340756,0.0,0.5477225575051663,121.32539241794572,
AS14.01,2014-04-24,0.08573950709977526,9.129714767261005,58.736596083030065,54.431448337839385,71.39933528612154,,,1.5025514688910548,112.86386096604629,14.758040396114023,,30.56334472804829,,,0.5477225575051661,0.0,0.5477225575051662,150.07581083144586,
AS14.01,2014-04-25,0.1260118013284341,12.277593525632174,58.80032185692267,55.56488584228951,1.732629312153449,,,5.094005251273304,110.17900275923613,17.463370073766786,,32.28306567395394,,0.0,0.447213595499958,0.4472135954999579,0.8366600265340756,76.35196650457291,
AS14.01,2014-04-26,0.31618042884370523,5.667591267283261,54.21662494648486,,4.945790626044198,,,2.412295794466342,2.2910259710444154,19.52032284103982,,17.72785832900673,,0.0,1.0954451150103321,0.0,0.5477225575051662,146.31219822628623,0.0
AS14.01,2014-04-27,0.0504472246251274,13.112269409185874,73.29859435880712,140.4367149628852,,,,27.09314284914994,15.173097310700935,,,7.461637398498179,,,1.0307764064044151,0.0,0.5773502691896258,96.63332203269795,
AS14.01,2014-04-28,0.030014136853929528,10.870195967086056,52.92335675924282,62.67859095611187,20.337054225512322,,,10.151614032589434,166.42040257661807,,,11.969938428253942,,0.0,0.4472135954999579,0.4472135954999579,0.5477225575051661,168.61954215799767,
